source_event_id,financial_year,event_date,policy_id,product_code,product_name,region,distribution_channel,policy_status,written_premium_inr,premium_collected_inr,claim_flag,claim_amount_inr,claim_status,ceded_reinsurance_inr,commission_inr,insurance_revenue_inr
EVT00000001,2021,2021-02-17,POL00328,Motor,Private Motor,North,Direct,Active,37582.04,29149.52,False,0,,8027.9,4764.05,32123.9
EVT00000002,2021,2021-03-23,POL00112,Health,Retail Health,Central,Agent,Active,159796.16,147864.38,False,0,,29524.37,13768.8,156663.36
EVT00000003,2021,2021-10-02,POL00358,Travel,Travel,East,Direct,Active,210929.17,175946.28,True,39430.4,Settled,48749.49,32678.56,202378.05
EVT00000004,2021,2021-05-29,POL00064,Travel,Travel,North,Direct,Expired,139126.19,134316.14,False,0,,36363.63,7785.11,123013.25
EVT00000005,2021,2021-11-28,POL00041,Health,Retail Health,North,Bancassurance,Active,142765.1,120095.15,False,0,,16111.34,12093.22,141408.57
EVT00000006,2021,2021-01-29,POL00037,SME,SME Package,South,Broker,Active,88444.55,88212.9,False,0,,19199.98,12293.78,86359.72
EVT00000007,2021,2021-11-26,POL00118,Motor,Private Motor,East,Bancassurance,Active,52728.36,51975.79,False,0,,7614.15,7129.24,47948.26
EVT00000008,2021,2021-03-12,POL00235,Health,Retail Health,East,Broker,Active,127010.04,103600.24,False,0,,40560.26,12945.13,112136.92
EVT00000009,2021,2021-08-28,POL00261,Travel,Travel,North,Agent,Expired,40402.36,31917.68,False,0,,9249.02,4041.03,37953.3
EVT00000010,2021,2021-03-22,POL00271,Property,Commercial Property,Central,Agent,Active,32284.97,31355.07,False,0,,9058.5,3041.98,28863.57
EVT00000011,2021,2021-03-24,POL00233,Motor,Private Motor,East,Broker,Active,30559.09,27696.47,False,0,,6182.07,2318.16,27689.2
EVT00000012,2021,2021-10-18,POL00277,SME,SME Package,North,Direct,Active,31715.96,26665.04,False,0,,9262.09,2573.08,28104.49
EVT00000013,2021,2021-11-07,POL00041,Motor,Private Motor,West,Agent,Cancelled,120933.71,94502.45,False,0,,40398.46,8642.71,112365.69
EVT00000014,2021,2021-02-02,POL00217,Health,Retail Health,Central,Broker,Expired,92586.37,84987.04,False,0,,29616.92,10063.51,82141.32
EVT00000015,2021,2021-12-09,POL00174,Motor,Private Motor,Central,Broker,Active,9524.46,8828.8,True,3953.31,Open,2932.49,563.96,8435.82
EVT00000016,2021,2021-08-05,POL00249,Health,Retail Health,Central,Broker,Expired,195065.21,174398.62,True,167650.1,Repudiated,20895.97,12211.28,178417.89
EVT00000017,2021,2021-02-08,POL00211,Travel,Travel,North,Agent,Active,162381.28,154286.27,True,58424.38,Repudiated,14947.96,11992.42,149292.41
EVT00000018,2021,2021-07-25,POL00227,SME,SME Package,North,Agent,Active,122604.64,92405.83,True,167042.43,Closed,12247.39,13870.67,108144.91
EVT00000019,2021,2021-10-12,POL00031,Health,Retail Health,West,Agent,Cancelled,64223.05,60756.14,False,0,,11361.2,11203.79,64178.95
EVT00000020,2021,2021-09-15,POL00339,Travel,Travel,South,Broker,Active,213366.39,190919.19,False,0,,58546.17,12253.95,200058.01
EVT00000021,2021,2021-10-24,POL00272,Health,Retail Health,North,Agent,Expired,22526.52,17277.62,False,0,,3855.02,3883.74,21072.46
EVT00000022,2021,2021-07-22,POL00305,Motor,Private Motor,Central,Agent,Active,131738.53,116021.55,False,0,,14659.57,18852.43,116694.37
EVT00000023,2021,2021-09-17,POL00068,Property,Commercial Property,West,Direct,Expired,206375.67,155262.37,False,0,,45175.24,13001.16,192062.52
EVT00000024,2021,2021-12-01,POL00136,Health,Retail Health,East,Agent,Expired,86339.74,68159.76,False,0,,22540.02,11182.56,86174.4
EVT00000025,2021,2021-04-15,POL00271,Motor,Private Motor,Central,Direct,Expired,29960.34,29047.5,True,48311.83,Closed,3945.91,3853.73,28691.27
EVT00000026,2021,2021-03-08,POL00352,Property,Commercial Property,Central,Bancassurance,Active,200529.72,152943.96,False,0,,59919.17,11175.78,180483.46
EVT00000027,2021,2021-03-17,POL00327,Property,Commercial Property,South,Bancassurance,Active,98669.63,74240.75,True,157195.09,Closed,21083.44,15638.88,92490.59
EVT00000028,2021,2021-07-28,POL00221,Health,Retail Health,North,Direct,Active,205814.66,204384.06,True,134482.87,Closed,51470.13,19753.73,192227.3
EVT00000029,2021,2021-05-08,POL00318,Health,Retail Health,South,Broker,Cancelled,179883.6,174550.78,True,239282.87,Settled,51215.73,18622.04,170976.86
